"A","BILANCA ODHODKOV","",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","928057 947422 918968 99,0 97,0",""
"0404","Upravne službe na lokalnem nivoju","928057 947422 918968 99,0 97,0",""
"04046201","Administracija upravnih enot","880897 879835 865165 98,2 98,3",""
"04046202","Upravne storitve upravnih enot","47160 67587 53803 114,1 79,6",""
"6248","Upravna enota Šentjur pri Celju","846429 831053 804985 95,1 96,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","846429 831053 804985 95,1 96,9",""
"0404","Upravne službe na lokalnem nivoju","846429 831053 804985 95,1 96,9",""
"04046201","Administracija upravnih enot","793040 761796 745028 94,0 97,8",""
"04046202","Upravne storitve upravnih enot","53389 69257 59957 112,3 86,6",""
"6249","Upravna enota Škofja Loka","1409765 1474785 1420166 100,7 96,3",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1409765 1474785 1420166 100,7 96,3",""
"0404","Upravne službe na lokalnem nivoju","1409765 1474785 1420166 100,7 96,3",""
"04046201","Administracija upravnih enot","1358943 1354684 1338768 98,5 98,8",""
"04046202","Upravne storitve upravnih enot","50822 120101 81398 160,2 67,8",""
"6250","Upravna enota Šmarje pri Jelšah","1635494 1649887 1606348 98,2 97,4",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1635494 1649887 1606348 98,2 97,4",""
"0404","Upravne službe na lokalnem nivoju","1635494 1649887 1606348 98,2 97,4",""
"04046201","Administracija upravnih enot","1563494 1557318 1539392 98,5 98,9",""
"04046202","Upravne storitve upravnih enot","72000 92568 66955 93,0 72,3",""
"6251","Upravna enota Tolmin","1065616 1079738 1040318 97,6 96,4",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1065616 1079738 1040318 97,6 96,4",""
"0404","Upravne službe na lokalnem nivoju","1065616 1079738 1040318 97,6 96,4",""
"04046201","Administracija upravnih enot","1027876 1035181 1005778 97,9 97,2",""
"04046202","Upravne storitve upravnih enot","37740 44557 34539 91,5 77,5",""
"6252","Upravna enota Trbovlje","905501 919909 904319 99,9 98,3",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","905501 919909 904319 99,9 98,3",""
"0404","Upravne službe na lokalnem nivoju","905501 919909 904319 99,9 98,3",""
"04046201","Administracija upravnih enot","869501 873638 870846 100,2 99,7",""
"04046202","Upravne storitve upravnih enot","36000 46271 33473 93,0 72,3",""
"6253","Upravna enota Trebnje","860166 898101 860498 100,0 95,8",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","860166 898101 860498 100,0 95,8",""
"0404","Upravne službe na lokalnem nivoju","860166 898101 860498 100,0 95,8",""
"04046201","Administracija upravnih enot","818389 840111 816218 99,7 97,2",""
"04046202","Upravne storitve upravnih enot","41777 57990 44280 106,0 76,4",""
"6254","Upravna enota Tržič","917006 936643 917086 100,0 97,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","917006 936643 917086 100,0 97,9",""
"0404","Upravne službe na lokalnem nivoju","917006 936643 917086 100,0 97,9",""
"04046201","Administracija upravnih enot","893006 892617 889131 99,6 99,6",""
"04046202","Upravne storitve upravnih enot","24000 44025 27954 116,5 63,5",""
"6255","Upravna enota Velenje","1664435 1618347 1581840 95,0 97,7",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1664435 1618347 1581840 95,0 97,7",""
"0404","Upravne službe na lokalnem nivoju","1664435 1618347 1581840 95,0 97,7",""
"04046201","Administracija upravnih enot","1558355 1493520 1491023 95,7 99,8",""
"04046202","Upravne storitve upravnih enot","106080 124827 90817 85,6 72,8",""
"6256","Upravna enota Vrhnika","840716 856807 838563 99,7 97,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","840716 856807 838563 99,7 97,9",""
"0404","Upravne službe na lokalnem nivoju","840716 856807 838563 99,7 97,9",""
"04046201","Administracija upravnih enot","792216 794462 789300 99,6 99,4",""
"04046202","Upravne storitve upravnih enot","48500 62344 49263 101,6 79,0",""
"6257","Upravna enota Zagorje ob Savi","670379 696728 668189 99,7 95,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","670379 696728 668189 99,7 95,9",""
"0404","Upravne službe na lokalnem nivoju","670379 696728 668189 99,7 95,9",""
"04046201","Administracija upravnih enot","636719 642203 633163 99,4 98,6",""
"04046202","Upravne storitve upravnih enot","33660 54525 35026 104,1 64,2",""
"6258","Upravna enota Žalec","1541686 1540101 1464392 95,0 95,1",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1541686 1540101 1464392 95,0 95,1",""
"0404","Upravne službe na lokalnem nivoju","1541686 1540101 1464392 95,0 95,1",""
"04046201","Administracija upravnih enot","1462696 1431142 1381612 94,5 96,5",""
"04046202","Upravne storitve upravnih enot","78990 108959 82781 104,8 76,0",""
"4111","Vrhovno sodišče RS","14980874 12947439 12385286 82,7 95,7",""
"09","PRAVOSODJE","14980874 12947439 12385286 82,7 95,7",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","14980874 12947439 12385286 82,7 95,7",""
"09024101","Administracija vrhovnega sodišča","10524670 8480275 8298755 78,9 97,9",""
"09024104","Informatizacija sodišč","4163790 4174750 3822245 91,8 91,6",""
"09024106","Reševanje sodnih zaostankov - posebni programi in programi sodišč","292414 292414 264287 90,4 90,4",""
"4112","Sodni svet RS","213955 286021 275731 128,9 96,4",""
"09","PRAVOSODJE","213955 286021 275731 128,9 96,4",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","213955 286021 275731 128,9 96,4",""
"09024103","Administracija Sodnega sveta","213955 286021 275731 128,9 96,4",""
"4211","Višje sodišče Celje","2199238 2199238 2193934 99,8 99,8",""
"09","PRAVOSODJE","2199238 2199238 2193934 99,8 99,8",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","2199238 2199238 2193934 99,8 99,8",""
"09024201","Administracija višjih sodišč","2199238 2199238 2193934 99,8 99,8",""
"4212","Višje sodišče Koper","2259784 2222896 2191954 97,0 98,6",""
"09","PRAVOSODJE","2259784 2222896 2191954 97,0 98,6",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","2259784 2222896 2191954 97,0 98,6",""
"09024201","Administracija višjih sodišč","2259784 2222896 2191954 97,0 98,6",""
"4213","Višje sodišče Ljubljana","7874866 8264806 8249251 104,8 99,8",""
"09","PRAVOSODJE","7874866 8264806 8249251 104,8 99,8",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","7874866 8264806 8249251 104,8 99,8",""
"09024201","Administracija višjih sodišč","7874866 8264806 8249251 104,8 99,8",""
"4214","Višje sodišče Maribor","4381171 4285719 4266348 97,4 99,6",""
"09","PRAVOSODJE","4381171 4285719 4266348 97,4 99,6",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","4381171 4285719 4266348 97,4 99,6",""
"09024201","Administracija višjih sodišč","4381171 4285719 4266348 97,4 99,6",""
"4215","Okrožno sodišče v Celju","16107273 18186830 18147620 112,7 99,8",""
"09","PRAVOSODJE","16107273 18186830 18147620 112,7 99,8",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","16107273 18186830 18147620 112,7 99,8",""
"09024202","Administracija okrožnih sodišč","15666844 17277444 17238234 110,0 99,8",""
"09024203","Brezplačna pravna pomoč","440429 909386 909386 206,5 100,0",""
"4216","Okrožno sodišče v Kopru","9990463 10582974 10549695 105,6 99,7",""
"09","PRAVOSODJE","9990463 10582974 10549695 105,6 99,7",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","9990463 10582974 10549695 105,6 99,7",""
"09024202","Administracija okrožnih sodišč","9816593 10173448 10140171 103,3 99,7",""
"09024203","Brezplačna pravna pomoč","173870 409526 409524 235,5 100,0",""
"4217","Okrožno sodišče v Kranju","8585996 9434902 9388246 109,3 99,5",""
"09","PRAVOSODJE","8585996 9434902 9388246 109,3 99,5",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","8585996 9434902 9388246 109,3 99,5",""
"09024202","Administracija okrožnih sodišč","8435845 9094751 9048108 107,3 99,5",""
"09024203","Brezplačna pravna pomoč","150151 340151 340138 226,5 100,0",""
"4218","Okrožno sodišče v Ljubljani","39919144 46109115 45973416 115,2 99,7",""
"09","PRAVOSODJE","39919144 46109115 45973416 115,2 99,7",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","39919144 46109115 45973416 115,2 99,7",""
"09024202","Administracija okrožnih sodišč","39514335 44442090 44308953 112,1 99,7",""
"09024203","Brezplačna pravna pomoč","404809 1667025 1664463 411,2 99,9",""
"4219","Okrožno sodišče v Mariboru","14806172 15995482 15943192 107,7 99,7",""
"09","PRAVOSODJE","14806172 15995482 15943192 107,7 99,7",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","14806172 15995482 15943192 107,7 99,7",""
"09024202","Administracija okrožnih sodišč","14496173 15303953 15251663 105,2 99,7",""
"09024203","Brezplačna pravna pomoč","309999 691529 691529 223,1 100,0",""
"4220","Okrožno sodišče v Murski Soboti","8003901 8228525 8194694 102,4 99,6",""
"09","PRAVOSODJE","8003901 8228525 8194694 102,4 99,6",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","8003901 8228525 8194694 102,4 99,6",""
"09024202","Administracija okrožnih sodišč","7785015 7854237 7820470 100,5 99,6",""
"09024203","Brezplačna pravna pomoč","218886 374288 374224 171,0 100,0",""
"4221","Okrožno sodišče v Novi Gorici","6294044 7040988 7037186 111,8 100,0",""
"09","PRAVOSODJE","6294044 7040988 7037186 111,8 100,0",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","6294044 7040988 7037186 111,8 100,0",""
"09024202","Administracija okrožnih sodišč","6100537 6866954 6863152 112,5 99,9",""
"09024203","Brezplačna pravna pomoč","193507 174034 174034 89,9 100,0",""
"4222","Okrožno sodišče v Novem mestu","5586843 5980774 5977113 107,0 99,9",""
"09","PRAVOSODJE","5586843 5980774 5977113 107,0 99,9",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","5586843 5980774 5977113 107,0 99,9",""
"09024202","Administracija okrožnih sodišč","5454076 5806607 5802949 106,4 99,9",""
"09024203","Brezplačna pravna pomoč","132767 174167 174163 131,2 100,0",""
"4223","Okrožno sodišče v Krškem","4829557 5068816 5044570 104,5 99,5",""
"09","PRAVOSODJE","4829557 5068816 5044570 104,5 99,5",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","4829557 5068816 5044570 104,5 99,5",""
"09024202","Administracija okrožnih sodišč","4556488 4759991 4735745 103,9 99,5",""
"09024203","Brezplačna pravna pomoč","273069 308825 308825 113,1 100,0",""
"4224","Okrožno sodišče na Ptuju","5156985 5693939 5673252 110,0 99,6",""
"09","PRAVOSODJE","5156985 5693939 5673252 110,0 99,6",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","5156985 5693939 5673252 110,0 99,6",""
"09024202","Administracija okrožnih sodišč","5096618 5444353 5423702 106,4 99,6",""
"09024203","Brezplačna pravna pomoč","60367 249586 249550 413,4 100,0",""
"4225","Okrožno sodišče v Slovenj Gradcu","4052433 4194227 4156208 102,6 99,1",""
"09","PRAVOSODJE","4052433 4194227 4156208 102,6 99,1",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","4052433 4194227 4156208 102,6 99,1",""
"09024202","Administracija okrožnih sodišč","3820662 3949593 3911575 102,4 99,0",""
"09024203","Brezplačna pravna pomoč","231771 244634 244633 105,6 100,0",""
"4411","Vrhovno državno tožilstvo RS","4746157 5184864 5090401 107,3 98,2",""
"09","PRAVOSODJE","4746157 5184864 5090401 107,3 98,2",""
"0903","Delovanje tožilstva in pravobranilstva","4746157 5184864 5090401 107,3 98,2",""
"09034401","Administracija vrhovnega državnega tožilstva","4746157 5184864 5090401 107,3 98,2",""
"4416","Okrožno državno tožilstvo v Celju","1505341 1609247 1603061 106,5 99,6",""
"09","PRAVOSODJE","1505341 1609247 1603061 106,5 99,6",""
"0903","Delovanje tožilstva in pravobranilstva","1505341 1609247 1603061 106,5 99,6",""
"09034403","Administracija okrožnih državnih tožilstev","1505341 1609247 1603061 106,5 99,6",""
"4417","Okrožno državno tožilstvo v Kopru","1056162 1026662 1005887 95,2 98,0",""
"09","PRAVOSODJE","1056162 1026662 1005887 95,2 98,0",""
"0903","Delovanje tožilstva in pravobranilstva","1056162 1026662 1005887 95,2 98,0",""
"09034403","Administracija okrožnih državnih tožilstev","1056162 1026662 1005887 95,2 98,0",""
"4418","Okrožno državno tožilstvo v Kranju","902506 916055 905985 100,4 98,9",""
"09","PRAVOSODJE","902506 916055 905985 100,4 98,9",""
"0903","Delovanje tožilstva in pravobranilstva","902506 916055 905985 100,4 98,9",""
"09034403","Administracija okrožnih državnih tožilstev","902506 916055 905985 100,4 98,9",""
"4419","Okrožno državno tožilstvo v Ljubljani","4088932 4138732 4107089 100,4 99,2",""
"09","PRAVOSODJE","4088932 4138732 4107089 100,4 99,2",""
"0903","Delovanje tožilstva in pravobranilstva","4088932 4138732 4107089 100,4 99,2",""
"09034403","Administracija okrožnih državnih tožilstev","4088932 4138732 4107089 100,4 99,2",""
"4420","Okrožno državno tožilstvo v Mariboru","1738731 1733585 1714689 98,6 98,9",""
"09","PRAVOSODJE","1738731 1733585 1714689 98,6 98,9",""
"0903","Delovanje tožilstva in pravobranilstva","1738731 1733585 1714689 98,6 98,9",""
"09034403","Administracija okrožnih državnih tožilstev","1738731 1733585 1714689 98,6 98,9",""
"4421","Okrožno državno tožilstvo v Murski Soboti","831001 910001 898507 108,1 98,7",""
"09","PRAVOSODJE","831001 910001 898507 108,1 98,7",""
"0903","Delovanje tožilstva in pravobranilstva","831001 910001 898507 108,1 98,7",""
"09034403","Administracija okrožnih državnih tožilstev","831001 910001 898507 108,1 98,7",""
"4422","Okrožno državno tožilstvo v Novi Gorici","675382 755382 744549 110,2 98,6",""
"09","PRAVOSODJE","675382 755382 744549 110,2 98,6",""
"0903","Delovanje tožilstva in pravobranilstva","675382 755382 744549 110,2 98,6",""
"09034403","Administracija okrožnih državnih tožilstev","675382 755382 744549 110,2 98,6",""
"4423","Okrožno državno tožilstvo v Novem mestu","732456 793631 781310 106,7 98,5",""
"09","PRAVOSODJE","732456 793631 781310 106,7 98,5",""
"0903","Delovanje tožilstva in pravobranilstva","732456 793631 781310 106,7 98,5",""
"09034403","Administracija okrožnih državnih tožilstev","732456 793631 781310 106,7 98,5",""
"4424","Okrožno državno tožilstvo v Krškem","713179 794179 782353 109,7 98,5",""
"09","PRAVOSODJE","713179 794179 782353 109,7 98,5",""
"0903","Delovanje tožilstva in pravobranilstva","713179 794179 782353 109,7 98,5",""
"09034403","Administracija okrožnih državnih tožilstev","713179 794179 782353 109,7 98,5",""
"4425","Okrožno državno tožilstvo na Ptuju","747844 748844 742403 99,3 99,1",""
"09","PRAVOSODJE","747844 748844 742403 99,3 99,1",""
"0903","Delovanje tožilstva in pravobranilstva","747844 748844 742403 99,3 99,1",""
"09034403","Administracija okrožnih državnih tožilstev","747844 748844 742403 99,3 99,1",""
"4426","Okrožno državno tožilstvo v Slovenj Gradcu","639978 652195 648161 101,3 99,4",""
"09","PRAVOSODJE","639978 652195 648161 101,3 99,4",""
"0903","Delovanje tožilstva in pravobranilstva","639978 652195 648161 101,3 99,4",""
"09034403","Administracija okrožnih državnih tožilstev","639978 652195 648161 101,3 99,4",""
"4514","Državno pravobranilstvo RS","8825294 8946423 8071911 91,5 90,2",""
"09","PRAVOSODJE","8825294 8946423 8071911 91,5 90,2",""
"0903","Delovanje tožilstva in pravobranilstva","6302373 6423502 6367021 101,0 99,1",""
"09034502","Administracija državnega pravobranilca","6302373 6423502 6367021 101,0 99,1",""
"0905","Odškodnine","2522921 2522921 1704889 67,6 67,6",""
"09054501","Odškodnine neupravičeno obsojenim in za postopke pred ESČP","2522921 2522921 1704889 67,6 67,6",""
"4611","Upravno sodišče Republike Slovenije","3596967 3790967 3726027 103,6 98,3",""
"09","PRAVOSODJE","3596967 3790967 3726027 103,6 98,3",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","3596967 3790967 3726027 103,6 98,3",""
"09024601","Administracija upravnega sodišča","3584306 3784306 3724796 103,9 98,4",""
"09024602","Brezplačna pravna pomoč","12661 6661 1231 9,7 18,5",""
"5011","Višje delovno in socialno sodišče","1533291 1638291 1597946 104,2 97,5",""
"09","PRAVOSODJE","1533291 1638291 1597946 104,2 97,5",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","1533291 1638291 1597946 104,2 97,5",""
"09025001","Administracija višjega delovnega in socialnega sodišča","1533291 1638291 1597946 104,2 97,5",""
"5012","Delovno sodišče v Celju","583773 663551 651482 111,6 98,2",""
"09","PRAVOSODJE","583773 663551 651482 111,6 98,2",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","583773 663551 651482 111,6 98,2",""
"09025002","Administracija delovnih in socialnih sodišč","544346 574298 562332 103,3 97,9",""
"09025003","Brezplačna pravna pomoč","39427 89253 89150 226,1 99,9",""
"5013","Delovno sodišče v Kopru","561086 563278 545039 97,1 96,8",""
"09","PRAVOSODJE","561086 563278 545039 97,1 96,8",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","561086 563278 545039 97,1 96,8",""
"09025002","Administracija delovnih in socialnih sodišč","541660 543852 527695 97,4 97,0",""
"09025003","Brezplačna pravna pomoč","19426 19426 17344 89,3 89,3",""
"5014","Delovno in socialno sodišče v Ljubljani","3522715 3912921 3865486 109,7 98,8",""
"09","PRAVOSODJE","3522715 3912921 3865486 109,7 98,8",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","3522715 3912921 3865486 109,7 98,8",""
"09025002","Administracija delovnih in socialnih sodišč","3451686 3797795 3750381 108,7 98,8",""
"09025003","Brezplačna pravna pomoč","71029 115126 115105 162,1 100,0",""
"5015","Delovno sodišče v Mariboru","1353396 1383296 1323736 97,8 95,7",""
"09","PRAVOSODJE","1353396 1383296 1323736 97,8 95,7",""
"0902","Koordinacija vrhovnega sodišča in delovanje sodišč","1353396 1383296 1323736 97,8 95,7",""
"09025002","Administracija delovnih in socialnih sodišč","1261050 1311010 1252697 99,3 95,6",""
"09025003","Brezplačna pravna pomoč","92346 72286 71039 76,9 98,3",""
"B","RAČUN FINANČNIH TERJATEV IN NALOŽB","",""
"1536","Služba Vlade RS za lokalno samoupravo in regionalno politiko","5112322 5374218 5374218 105,1 100,0",""
"06","LOKALNA SAMOUPRAVA","5112322 5374218 5374218 105,1 100,0",""
"0601","Delovanje na področju lokalne samouprave ter koordinacija vladne in lokalne ravni","5112322 5374218 5374218 105,1 100,0",""
"06011504","Vzpostavitev in delovanje sistema regionalne in strukturne politike","5092264 5307394 5307394 104,2 100,0",""
"06011507","Gospodarska osnova za avtohtone narodne skupnosti","20058 66825 66825 333,2 100,0",""
"1611","Ministrstvo za finance","202710230 203189215 113739579 56,1 56,0",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","146521482 146521482 103919116 70,9 70,9",""
"0302","Mednarodno sodelovanje in udeležba","146521482 146521482 103919116 70,9 70,9",""
"03021601","Sodelovanje z mednarodnimi institucijami","1121482 1121482 1066876 95,1 95,1",""
"03021602","Finančna stabilnost EU","145400000 145400000 102852240 70,7 70,7",""
"09","PRAVOSODJE","403000 414313 414313 102,8 100,0",""
"0905","Odškodnine","403000 414313 414313 102,8 100,0",""
"09051601","Odškodnine po sodnih sklepih","403000 414313 414313 102,8 100,0",""
"14","GOSPODARSTVO","55785748 56253420 9406150 16,9 16,7",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","30000000 30000000 1084548 3,6 3,6",""
"14011601","Urejanje na področju gospodarstva","30000000 30000000 1084548 3,6 3,6",""
"1402","Pospeševanje in podpora gospodarski dejavnosti","25785748 26253420 8321602 32,3 31,7",""
"14021601","Jamstva","23607267 23607267 8321602 35,3 35,3",""
"14021602","Programi povečevanja konkurenčnosti","2178481 2646153 0 0,0 0,0",""
"2111","Ministrstvo za gospodarstvo","20202137 20891543 17343655 85,9 83,0",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","7600000 0 0 0,0 -",""
"0504","Tehnološki razvoj","7600000 0 0 0,0 -",""
"05042101","Programi pospeševanja tehnološkega razvoja gospodarstva","7600000 0 0 0,0 -",""
"14","GOSPODARSTVO","12602137 20891543 17343655 137,6 83,0",""
"1402","Pospeševanje in podpora gospodarski dejavnosti","12602137 20891543 17343655 137,6 83,0",""
"14022102","Prestrukturiranje podjetij","5537460 6049151 3546316 64,0 58,6",""
"14022103","Spodbujanje razvoja malega gospodarstva","7064676 14842392 13797339 195,3 93,0",""
"2511","Ministrstvo za okolje in prostor","6279001 6438009 6438009 102,5 100,0",""
"15","VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","6279001 6438009 6438009 102,5 100,0",""
"1502","Zmanjševanje onesnaženja, kontrola in nadzor","6279001 6438009 6438009 102,5 100,0",""
"15022501","Izboljšanje stanja okolja","6279001 6438009 6438009 102,5 100,0",""
"3211","Ministrstvo za visoko šolstvo, znanost in tehnologijo","58209173 58368181 52000000 89,3 89,1",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","58209173 58368181 52000000 89,3 89,1",""
"0502","Znanstveno - raziskovalna dejavnost","6000000 6000000 0 0,0 0,0",""
"05023201","Znanstveno raziskovalna dejavnost","6000000 6000000 0 0,0 0,0",""
"0504","Tehnološki razvoj","52209173 52368181 52000000 99,6 99,3",""
"05043201","Programi pospeševanja tehnološkega razvoja gospodarstva","52209173 52368181 52000000 99,6 99,3",""
"C","RAČUN FINANCIRANJA","1732447998 1730428912 1730368962 99,9 100,0",""
"1611","Ministrstvo za finance","1732447998 1730428912 1730368962 99,9 100,0",""
"22","SERVISIRANJE JAVNEGA DOLGA","1732447998 1730428912 1730368962 99,9 100,0",""
"2201","Servisiranje javnega dolga","1732447998 1730428912 1730368962 99,9 100,0",""
"22011601","Obveznosti iz naslova restrukturiranja podjetniškega in bančnega sektorja","3979213 3984323 3983598 100,1 100,0",""
"22011603","Obveznosti iz naslova financiranja izvrševanja proračuna - domače zadolževanje","1207784684 1207784684 1207782684 100,0 100,0",""
"22011604","Obveznosti iz naslova financiranja izvrševanja proračuna - tuje zadolževanje","511404101 511398991 511341766 100,0 100,0",""
"22011606","Obveznosti iz naslova obveznic za posebne namene","9280000 7260914 7260914 78,2 100,0",""
