"A","BILANCA ODHODKOV","",""
"14021602","Programi povečevanja konkurenčnosti","1210000 710000 649766 53,7 91,5",""
"21","POKOJNINSKO VARSTVO","1346484920 1316484920 1289373490 95,8 97,9",""
"2102","Pokojnine","1346484920 1316484920 1289373490 95,8 97,9",""
"21021601","Obveznosti države do ZPIZ","1342130302 1312130302 1286132133 95,8 98,0",""
"21021603","Obveznosti države do SOP","4354618 4354618 3241358 74,4 74,4",""
"22","SERVISIRANJE JAVNEGA DOLGA","483296491 483191596 481906082 99,7 99,7",""
"2201","Servisiranje javnega dolga","483296491 483191596 481906082 99,7 99,7",""
"22011601","Obveznosti iz naslova restrukturiranja podjetniškega in bančnega sektorja","11200994 11201624 11201536 100,0 100,0",""
"22011602","Obveznosti iz naslova sukcesije","1118801 994876 78107 7,0 7,9",""
"22011603","Obveznosti iz naslova financiranja izvrševanja proračuna - domače zadolževanje","367575591 367075531 366745664 99,8 99,9",""
"22011604","Obveznosti iz naslova financiranja izvrševanja proračuna - tuje zadolževanje","96416104 96416104 96410701 100,0 100,0",""
"22011605","Stroški financiranja in upravljanja z dolgom","4625000 5248355 5214968 112,8 99,4",""
"22011606","Obveznosti iz naslova obveznic za posebne namene","2360000 2255105 2255105 95,6 100,0",""
"23","INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","43315077 4371349 3779152 8,7 86,5",""
"2302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","3779152 3779152 3779152 100,0 100,0",""
"23021601","Rezerva Republike Slovenije","3779152 3779152 3779152 100,0 100,0",""
"2303","Splošna proračunska rezervacija","39535925 592197 0 0,0 0,0",""
"23031601","Splošna proračunska rezervacija","39535925 592197 0 0,0 0,0",""
"24","PRISPEVEK V PRORAČUN EVROPSKE UNIJE","412805832 396949498 396784795 96,1 100,0",""
"2401","Plačila sredstev v proračun Evropske unije","412805832 396949498 396784795 96,1 100,0",""
"24011605","Plačilo prispevka v proračun Evropske unije","412805832 396949498 396784795 96,1 100,0",""
"1612","Davčna uprava RS","109234886 109545546 108201029 99,1 98,8",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","109234886 109545546 108201029 99,1 98,8",""
