"","A Bilanca odhodkov","9652121502",""
"1402","Ekonomska in javnofinančna politika","30665430",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","30665430",""
"14020201","Vodenje javnofinančne politike in fiskalni nadzor","30665430",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","540234",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","540234",""
"14030107","Sistem kohezijske politike","540234",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","10974278",""
"1501","Pravosodje","10974278",""
"150104","Poprava krivic in odškodnine","10974278",""
"15010401","Izplačilo obveznosti iz naslova vlaganj v javno telekomunikacijsko omrežje","2206813",""
"15010402","Izplačilo obveznosti po Zakonu o denacionalizaciji","975704",""
"15010403","Izplačilo odškodnin po sodnih sklepih in izvensodnih poravnavah","7791761",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","959754722",""
"1601","Servisiranje javnega dolga","517984770",""
"160101","Servisiranje domačega dolga","444405411",""
"16010101","Obveznosti iz naslova obresti domačega dolga","444405411",""
"160102","Servisiranje dolga do tujine","66579358",""
"16010201","Obveznosti iz naslova obresti tujega dolga","66579358",""
"160103","Stroški financiranja in upravljanja z dolgom","7000000",""
"16010301","Obveznosti iz naslova stroškov financiranja in upravljanja z dolgom","7000000",""
"1602","Plačila v Evropsko unijo","393633107",""
"160201","Plačila sredstev v proračun Evropske unije","393633107",""
"16020101","Plačila sredstev v proračun EU","393633107",""
"1603","Oblikovanje rezerv in intervencijski programi","48136845",""
"160301","Splošna proračunska rezervacija","17446723",""
"16030101","Splošna proračunska rezervacija","17446723",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","30690122",""
"16030203","Posebna proračunska rezerva in programi pomoči v primerih nesreč","30690122",""
"1612","Davčna uprava RS","104531606",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","3354071",""
"1202","Podpora nevladnih organizacij in civilne družbe","3354071",""
"120201","Podpora nevladnih organizacij in civilne družbe","3354071",""
"12020103","Donacije dela dohodnine","3354071",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","101177535",""
"1402","Ekonomska in javnofinančna politika","101177535",""
"140203","Davčna in carinska administracija","101177535",""
"14020301","Pobiranje javnofinančnih prihodkov","101177535",""
"1613","Carinska uprava RS","60764478",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","60764478",""
"1402","Ekonomska in javnofinančna politika","60764478",""
"140203","Davčna in carinska administracija","60764478",""
"14020302","Pobiranje javnofinančnih prihodkov, trošarinski in  okoljski davčni nadzor ter  carinski nadzor zunanje meja EU","60764478",""
"1615","Urad RS za preprečevanje pranja denarja","643942",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","643942",""
"1402","Ekonomska in javnofinančna politika","643942",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","643942",""
"14020205","Izvajanje nadzora nad preprečevanje pranja denarja in preprečevanjem terorizma","643942",""
"1617","Urad RS za nadzor prirejanja iger na srečo","1345000",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1345000",""
"1402","Ekonomska in javnofinančna politika","1345000",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","1345000",""
"14020204","Izvajanje nadzora nad klasičnimi in posebnimi igrami na srečo","1345000",""
"1618","Uprava RS za javna plačila","6828103",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","6828103",""
"1402","Ekonomska in javnofinančna politika","6828103",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","6828103",""
"14020206","Izvajanje plačilnih storitev za proračunske uporabnike","6828103",""
"1619","Urad RS za nadzor proračuna","2616844",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","2616844",""
"1402","Ekonomska in javnofinančna politika","2048214",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","2048214",""
"14020207","Notranji nadzor javnih financ","312836",""
"14020208","Proračunsko inšpiciranje","295292",""
"14020209","Revidiranje izdatkov in sistemov delitve sredstev evropskih virov financiranja","1088732",""
"14020211","Zaščita finančnih interesov ES","49219",""
"14020212","Vodstvene in podporne dejavnosti","302135",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","568630",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","568630",""
"14030107","Sistem kohezijske politike","568630",""
"17","MINISTRSTVO ZA NOTRANJE ZADEVE","353883946",""
"1711","Ministrstvo za notranje zadeve","28500247",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","28385747",""
"1302","Notranje zadeve in nacionalna varnost","28385747",""
"130201","Temeljne naloge policije","326403",""
"13020104","Operativna podpora temeljni policijski in kriminalistični dejavnosti","326403",""
"130204","Urejanje notranjih zadev","23130946",""
"13020401","Izvajanje nalog in normativno urejanje področja notranjih zadev","1524827",""
"13020402","Operativna podpora delovanja ministrstva za notranje zadeve","21606119",""
"130205","Migracije in mednarodna zaščita","4928397",""
"13020501","Izvajanje ukrepov in spremljanje stanja na področju migracij, mednarodne zaščite in integracije beguncev in tujcev","4928397",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","114500",""
"1502","Dejavnosti drugih institucij na področju pravne države, svobode in varnosti","114500",""
"150201","Program preprečevanja in zatiranja kriminalitete in rehabilitacija žrtev kaznivih dejanj","100000",""
"15020101","Implementacija Resolucije o nacionalnem programu preprečevanja in zatiranja kriminalitete za obdobje 2007 -2011","100000",""
"150204","Nadzor s področja notranjih zadev, policije, zasebnega varovanja in detektivske dejavnosti","14500",""
"15020402","Razvoj politike spremljanja dela policije","14500",""
"1714","Policija","324653699",""
