,, ,
,, ,
,,II2 ,
140202,Urejanje na področju javnofinančne politike ter,"6508359 6621418 101,74",
,fiskalni nadzor,,
14020206,Izvajanje plačilnih storitev za proračunske,"6508359 6621418 101,74",
,uporabnike,,
1619,Urad RS za nadzor proračuna,"2454311 2295297 93,52",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"2454311 2295297 93,52",
1402,Ekonomska in javnofinančna politika,"1888740 1823443 96,54",
140202,Urejanje na področju javnofinančne politike ter,"1888740 1823443 96,54",
,fiskalni nadzor,,
14020207,Notranji nadzor javnih financ,"315396 288748 91,55",
14020208,Proračunsko inšpiciranje,"327280 329763 100,76",
14020209,Revidiranje izdatkov in sistemov delitve,"934043 881169 94,34",
,sredstev evropskih virov financiranja,,
14020211,Zaščita finančnih interesov ES,"49857 49885 100,06",
14020212,Vodstvene in podporne dejavnosti,"262164 273879 104,47",
1403,"Urejanje sistema, podporne dejavnosti in","565571 471853 83,43",
,administracija na področju upravljanja sistemov javne,,
,uprave,,
140301,"Urejanje sistema, podporne dejavnosti in","565571 471853 83,43",
,administracija na področju upravljanja sistemov,,
,javne uprave,,
14030107,Sistem kohezijske politike,"565571 471853 83,43",
,,Stran 5 od 37,
,,v eurih,
,BLC / NADSKUPINA / SPU / PU / PO / PG / PPG / DE,Rebalans II Realizacija Real / Reb II,
,,prora&#269;una&#202;2012 prora&#269;una&#202;2012,
17,MINISTRSTVO ZA NOTRANJE ZADEVE,"325211889 331730869 102,00",
1711,Ministrstvo za notranje zadeve,"30379763 27735107 91,29",
12,INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE,"4650982 4657046 100,13",
,DRUŽBE,,
1202,Podpora nevladnih organizacij in civilne družbe,"4650982 4657046 100,13",
120201,Podpora nevladnih organizacij in civilne družbe,"4650982 4657046 100,13",
12020101,Podpora narodnim skupnostim in Romom,"4650982 4657046 100,13",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","25712781 23062061 89,69",
,ZADEVE,,
1302,Notranje zadeve in nacionalna varnost,"25712781 23062061 89,69",
130201,Temeljne naloge policije,"1472198 67813 4,61",
13020101,Temeljna policijska dejavnost,"89838 25552 28,44",
13020104,Operativna podpora temeljni policijski in,"1382360 42261 3,06",
,kriminalistični dejavnosti,,
130204,Urejanje notranjih zadev,"20469429 19571702 95,61",
13020401,Izvajanje nalog in normativno urejanje,"1202288 673639 56,03",
,področja notranjih zadev,,
13020402,Operativna podpora delovanja ministrstva za,"19267141 18898063 98,08",
,notranje zadeve,,
130205,Migracije in mednarodna zaščita,"3771154 3422547 90,76",
13020501,Izvajanje ukrepov in spremljanje stanja na,"3771154 3422547 90,76",
,"področju migracij, mednarodne zaščite in",,
,integracije beguncev in tujcev,,
15,"INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN","16000 16000 100,00",
,VARNOSTI,,
1502,"Dejavnosti drugih institucij na področju pravne države,","16000 16000 100,00",
,svobode in varnosti,,
150204,"Nadzor s področja notranjih zadev, policije,","16000 16000 100,00",
,zasebnega varovanja in detektivske dejavnosti,,
15020402,Razvoj politike spremljanja dela policije,"16000 16000 100,00",
1714,Policija,"294082226 303231557 103,11",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","291165077 300410020 103,18",
,ZADEVE,,
1302,Notranje zadeve in nacionalna varnost,"291165077 300410020 103,18",
130201,Temeljne naloge policije,"291165077 300410020 103,18",
13020101,Temeljna policijska dejavnost,"270666082 280490393 103,63",
13020103,Temeljna kriminalistična dejavnost,"11999932 12525681 104,38",
13020104,Operativna podpora temeljni policijski in,"8499062 7393945 87,00",
,kriminalistični dejavnosti,,
15,"INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN","2917149 2821537 96,72",
,VARNOSTI,,
1502,"Dejavnosti drugih institucij na področju pravne države,","2917149 2821537 96,72",
,svobode in varnosti,,
150202,Vzpostavitev in krepitev inštitucij obravnave,"2917149 2821537 96,72",
,najhujših oblik finančne kriminalitete,,
15020201,Izvajanje nalog za uspešno in učinkovito,"2917149 2821537 96,72",
,"omejevanje najhujših oblik gospodarske,",,
,"organizirane in korupcijske kriminalitete,",,
,učinkovitejše odkrivanje,,
1715,Inšpektorat RS za notranje zadeve,"749900 764205 101,91",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","749900 764205 101,91",
,ZADEVE,,
1302,Notranje zadeve in nacionalna varnost,"749900 764205 101,91",
130204,Urejanje notranjih zadev,"749900 764205 101,91",
13020402,Operativna podpora delovanja ministrstva za,"749900 764205 101,91",
,notranje zadeve,,
18,MINISTRSTVO ZA ZUNANJE ZADEVE,"79541871 83164054 104,55",
1811,Ministrstvo za zunanje zadeve,"79541871 83164054 104,55",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","79541871 83164054 104,55",
,ZADEVE,,
1303,Zunanja politika,"79541871 83164054 104,55",
130301,Politična  diplomacija,"33881573 31388854 92,64",
13030101,Izvajanje zunanje politike,"33881573 31388854 92,64",
130302,Dejavnosti diplomatsko-konzularnih,"35229320 41709412 118,39",
,predstavništev in konzularna pomoč,,
13030201,Diplomatsko konzularna mreža,"35229320 41709412 118,39",
130303,Razvojno sodelovanje in humanitarna pomoč,"10038086 9814350 97,77",
13030304,Tesno medinstitucionalno sodelovanje,"129581 125 0,10",
,(namenska sredstva EU),,
13030306,Bilateralno razvojno sodelovanje,"9908505 9814225 99,05",
,,Stran 6 od 37,
,,v eurih,
,BLC / NADSKUPINA / SPU / PU / PO / PG / PPG / DE,Rebalans II Realizacija Real / Reb II,
,,prora&#269;una&#202;2012 prora&#269;una&#202;2012,
130304,Gospodarska diplomacija,"392892 251439 64,00",
13030401,Gospodarska diplomacija,"392892 251439 64,00",
19,MINISTRSTVO ZA OBRAMBO,"380852234 396001325 103,98",
1911,Ministrstvo za obrambo,"44953310 46583650 103,63",
02,"VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN","851366 837336 98,35",
,INFORMACIJSKA DRUŽBA,,
0202,Znanstveno - raziskovalna dejavnost,"139066 139057 99,99",
020201,Raziskovalni programi in projekti,"139066 139057 99,99",
02020105,Znanstvene raziskave za potrebe programa,"139066 139057 99,99",
,Obramba in zaščita,,
0203,Tehnologija in informacijska družba,"712300 698279 98,03",
020301,Podpora tehnološkim razvojnim projektom,"712300 698279 98,03",
02030105,Potrebe programa obramba in zaščita,"712300 698279 98,03",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","44101944 45746315 103,73",
,ZADEVE,,
1301,Obramba in zaščita,"44101944 45746315 103,73",
130103,Upravljanje obrambnega sistema in krizno,"44101944 45746315 103,73",
,upravljanje,,
13010302,Nadzor na področju Obrambe in zaščite,"31786 54117 170,26",
13010303,Zagotavljanje pogojev za delovanje,"25823872 27286795 105,67",
,programa Obrambe in zaščite,,
13010305,Vodenje in upravljanje na področju Obrambe,"2494978 2293248 91,91",
,in zaščite,,
13010306,Obrambna politika in obrambno planiranje,"4142868 5182667 125,10",
13010307,Krizno upravljanje,"3101258 2989548 96,40",
13010308,Civilne zmogljivosti za mednarodne operacije,"559187 399704 71,48",
,in misije,,
13010309,Zagotavljanje kadra za vojaško obrambo,"2057320 1875113 91,14",
13010310,"Obveščevalne, protiobveščevalne in","5890675 5665122 96,17",
,varnostne naloge,,
1912,Uprava RS za zaščito in reševanje,"30608708 33790506 110,40",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","30608708 33790506 110,40",
,ZADEVE,,
1301,Obramba in zaščita,"30497766 33580506 110,11",
130102,Varstvo pred naravnimi in drugimi nesrečami,"30497766 33580506 110,11",
13010203,Delovanje reševalnih služb in sestavov,"468173 391660 83,66",
,"(komisije, enote in štabi CZ) in ocenjevanja",,
,škode  po naravnih in drugih nesrečah,,
13010204,Informacijski in komunikacijski sistem na,"2203853 2425800 110,07",
,področju VNDN,,
13010205,"Izobraževanje in usposabljanje, preverjanje","2309299 2347953 101,67",
,usposobljenosti pripadnikov sil za ZRP  ter,,
